


Массив с элементами от -2 до 2
1000;7.69846e+006;7.10459e+006;8.01077e+006;2.34097e+006;2.84193e+006;;;2.20678e+006;1.28925e+006;216387;211384;325623;
2000;2.8101e+007;2.90678e+007;2.82614e+007;7.38166e+006;8.33954e+006;;;4.27229e+006;2.47637e+006;393037;408367;677576;
3000;5.33794e+007;5.54744e+007;6.97609e+007;1.879e+007;2.26225e+007;;;6.67891e+006;4.51067e+006;821257;793579;1.01911e+006;
4000;1.20343e+008;1.2091e+008;1.08564e+008;2.72134e+007;3.27842e+007;;;7.12749e+006;4.68579e+006;750763;774304;986682;
5000;1.33844e+008;1.33493e+008;1.98725e+008;4.63486e+007;6.47655e+007;;;1.17303e+007;8.79508e+006;1.44213e+006;1.33562e+006;1.76022e+006;
6000;2.48036e+008;2.06763e+008;2.05923e+008;4.66452e+007;5.49716e+007;;;7.67396e+006;5.64097e+006;1.0827e+006;976034;1.28485e+006;
7000;2.35742e+008;2.1516e+008;2.35163e+008;4.49298e+007;4.82665e+007;;;6.17699e+006;4.32562e+006;753457;763945;979498;
8000;2.23933e+008;2.25261e+008;2.51928e+008;5.22182e+007;6.24293e+007;;;6.49459e+006;4.96086e+006;870647;887132;1.13674e+006;



Массив с элементами от 0 до INT_MAX
1000;3.00097e+006;3.12223e+006;3.31643e+006;1.03748e+006;1.04662e+006;;1.05281e+006;803040;616608;155611;151282;224341;
2000;1.17097e+007;1.23324e+007;1.28997e+007;4.09471e+006;3.76299e+006;;2.09196e+006;1.6633e+006;1.36147e+006;361928;356828;461863;
3000;2.71609e+007;2.85336e+007;3.022e+007;9.17824e+006;8.56853e+006;;3.13942e+006;2.53093e+006;2.1757e+006;554999;561477;738288;
4000;5.2042e+007;5.49138e+007;5.62712e+007;1.62126e+007;1.43424e+007;;4.21077e+006;3.41226e+006;2.97499e+006;762245;729853;993385;
5000;8.59609e+007;8.76715e+007;9.71653e+007;2.574e+007;2.20227e+007;;5.26862e+006;4.27841e+006;3.99006e+006;946689;930877;1.24601e+006;
6000;1.27474e+008;1.30984e+008;1.4196e+008;3.63704e+007;3.19024e+007;;6.35986e+006;5.23055e+006;5.07905e+006;1.24547e+006;1.18649e+006;1.67218e+006;
7000;1.894e+008;1.92318e+008;2.0125e+008;4.95379e+007;4.33167e+007;;7.38801e+006;6.13035e+006;5.61371e+006;1.69033e+006;1.39771e+006;1.78279e+006;
8000;3.4129e+008;2.66823e+008;2.71564e+008;6.46043e+007;5.57017e+007;;8.36571e+006;7.03634e+006;6.46332e+006;1.57821e+006;1.60162e+006;2.03561e+006;



Сортированный массив (элементы от 0 д 1000)
